2022/02/11 17:09:53 | python_logging.py(83 行) | INFO| 请求方式为POST
2022/02/11 17:09:53 | python_logging.py(83 行) | INFO| 完整的请求url为  https://tradeapineice.1234567.com.cn/User/home/GetCToken
2022/02/11 17:09:53 | python_logging.py(83 行) | INFO| 剩余请求参数为  {'data': {'CToken': 'h-1chre-udknkf6nnk--q6e8huhfuerh.1', 'MobileKey': '87C7E8F1-4A80-4045-B0DD-443176FFA5D3', 'GTOKEN': 'A641CBFE4352465485D0447C8D51AFe3'}}
2022/02/11 17:09:53 | python_logging.py(83 行) | INFO| 请求方式为POST
2022/02/11 17:09:53 | python_logging.py(83 行) | INFO| 请求方式为POST
2022/02/11 17:09:53 | python_logging.py(83 行) | INFO| 请求方式为POST
2022/02/11 17:09:53 | python_logging.py(83 行) | INFO| 请求方式为POST
2022/02/11 17:09:53 | python_logging.py(83 行) | INFO| 请求方式为POST
2022/02/11 17:09:53 | python_logging.py(83 行) | INFO| 请求方式为POST
2022/02/11 17:09:53 | python_logging.py(83 行) | INFO| 请求方式为POST
2022/02/11 17:09:53 | python_logging.py(83 行) | INFO| 请求方式为POST
2022/02/11 17:09:53 | python_logging.py(83 行) | INFO| 请求方式为POST
2022/02/11 17:09:53 | python_logging.py(83 行) | INFO| 请求方式为POST
